cancellation,no_delivery,delivery_delay,delivery_time,late_delivery_flag,avg_installments,total_payment,freight_value,product_description_length,product_photos_qty,is_dissatisfied
0.0,0.0,-5.0,6.0,0.0,8.0,141.9,12.0,236.0,1.0,0
0.0,0.0,-5.0,3.0,0.0,1.0,27.19,8.29,635.0,1.0,0
0.0,0.0,-12.0,1.0,0.0,8.0,166.98,12.98,360.0,3.0,0
0.0,0.0,-12.0,6.0,0.0,1.0,35.38,7.39,818.0,6.0,0
0.0,0.0,31.0,53.0,1.0,4.0,129.76,24.86,1023.0,1.0,1
0.0,0.0,-8.0,15.0,0.0,3.0,63.66,13.71,212.0,2.0,0
0.0,0.0,-15.0,7.0,0.0,1.0,82.05,17.16,599.0,2.0,0
0.0,0.0,-9.0,14.0,0.0,2.0,29.0,15.1,578.0,2.0,0
0.0,0.0,-13.0,3.0,0.0,1.0,36.68,7.78,449.0,3.0,0
0.0,0.0,-15.0,14.0,0.0,1.0,78.42,18.52,423.0,1.0,0
0.0,0.0,-9.0,6.0,0.0,1.0,27.75,12.79,251.0,1.0,0
0.0,0.0,-8.0,2.0,0.0,1.0,20.75,7.87,448.0,1.0,0
0.0,0.0,2.0,22.0,1.0,6.0,61.8,11.85,213.0,2.0,0
0.0,0.0,-7.0,8.0,0.0,3.0,99.82,11.82,1113.0,2.0,0
0.0,0.0,-4.0,3.0,0.0,3.0,74.82,15.02,605.0,9.0,0
0.5,0.5,-15.0,10.0,0.0,1.5,244.14,56.099999999999994,763.5,3.5,0
0.0,0.0,-11.0,6.0,0.0,6.0,164.81,27.919999999999998,489.5,1.5,1
0.0,0.0,-8.0,16.0,0.0,1.0,37.58,15.26,718.0,2.0,0
0.0,0.0,1.0,28.0,1.0,1.0,27.0,14.1,422.0,1.0,0
0.0,0.0,-10.0,5.0,0.0,1.0,87.71,7.81,120.0,2.0,1
0.0,0.0,-20.0,17.0,0.0,2.0,197.27,37.28,1212.0,5.0,0
0.0,0.0,-6.0,1.0,0.0,1.0,161.71,9.81,254.0,1.0,0
0.0,0.0,-7.0,17.0,0.0,1.0,24.23,15.23,376.0,1.0,0
0.0,0.0,-36.0,11.0,0.0,6.0,63.33,23.43,212.0,2.0,0
0.0,0.0,-18.0,1.0,0.0,2.0,124.32,8.07,1518.0,2.0,0
0.0,0.0,-7.0,21.0,0.0,2.0,107.44,17.54,523.0,1.0,0
0.0,0.0,-11.0,7.0,0.0,3.0,92.18,23.28,659.0,2.0,0
0.0,0.0,-37.0,9.0,0.0,1.0,57.73,18.23,485.0,2.0,0
0.0,0.0,-18.0,3.0,0.0,3.0,214.08,36.18,366.0,1.5,1
0.0,0.0,-9.0,3.0,0.0,2.0,46.78,8.88,661.0,2.0,0
0.0,0.0,-15.0,9.0,0.0,1.0,118.2,22.3,989.0,4.0,0
0.0,0.0,-8.0,6.0,0.0,1.0,28.76,9.27,1736.0,3.0,0
0.0,0.0,-14.0,1.0,0.0,1.0,52.38,7.39,1754.0,1.0,0
0.0,0.0,-14.0,2.0,0.0,3.0,109.79,11.89,390.0,7.0,0
0.0,0.0,-18.0,8.0,0.0,6.0,114.04,21.14,329.0,1.0,0
0.0,0.0,-9.0,6.0,0.0,2.0,62.45,17.45,275.0,1.0,0
0.0,0.0,-11.0,14.0,0.0,5.0,226.23,38.23,2894.0,1.0,0
0.0,0.0,-13.0,8.0,0.0,1.0,44.23,18.23,98.0,1.0,0
0.0,0.0,-13.0,2.0,0.0,2.0,21.77,7.78,964.0,1.0,0
0.0,0.0,-17.0,19.0,0.0,1.0,109.5,29.6,1324.0,1.0,0
0.0,0.0,-21.0,4.0,0.0,2.0,107.81,22.31,288.0,2.0,0
0.0,0.0,-3.0,7.0,0.0,1.0,119.32,14.32,635.0,1.0,0
0.0,0.0,-14.0,13.0,0.0,2.0,181.82,31.92,799.0,1.0,0
0.0,0.0,-12.0,9.0,0.0,1.0,157.46,38.94,204.0,1.0,0
0.0,0.0,-21.0,7.0,0.0,1.0,36.98,18.23,371.0,1.0,0
0.0,0.0,-3.0,12.0,0.0,1.0,216.32,21.32,2353.0,6.0,0
0.0,0.0,-18.0,10.0,0.0,1.0,147.38,37.68,590.0,1.0,0
0.0,0.0,-15.0,3.0,0.0,1.0,142.51,12.61,273.0,1.0,0
0.0,0.0,-15.0,1.0,0.0,2.0,63.74,15.74,2936.0,1.0,0
0.0,0.0,-13.0,5.0,0.0,4.0,77.59,19.6,679.0,1.0,0
0.0,0.0,13.0,30.0,1.0,1.0,103.47,18.47,710.0,1.0,0
0.0,0.0,-6.0,7.0,0.0,1.0,62.91,13.01,527.0,1.0,0
0.0,0.0,-45.0,6.0,0.0,3.0,83.32,18.33,571.0,1.0,0
0.0,0.0,-19.0,7.0,0.0,1.0,24.13,18.23,332.0,1.0,0
0.0,0.0,-4.0,4.0,0.0,3.0,82.65,13.15,713.0,2.0,0
0.0,0.0,-8.0,6.0,0.0,2.0,41.04,19.34,843.0,1.0,0
0.0,0.0,-13.0,7.0,0.0,3.0,32.77,7.78,517.0,3.0,0
0.0,0.0,-11.0,7.0,0.0,1.0,44.18,18.28,665.0,2.0,0
0.0,0.0,-16.0,11.0,0.0,1.0,84.01,14.24,606.0,2.0,0
0.0,0.5,-22.0,23.0,0.0,1.0,147.72,60.82,500.5,1.5,0
0.0,0.0,-5.0,6.0,0.0,1.0,158.74,23.75,1732.0,5.0,0
0.0,0.0,-14.0,2.0,0.0,1.0,39.78,7.78,780.0,1.0,0
0.0,0.0,-8.0,14.0,0.0,8.0,189.08,29.1,1177.0,1.0,0
0.0,0.0,-31.0,5.0,0.0,3.0,198.7,38.94,238.0,2.0,0
0.0,0.0,-22.0,13.0,0.0,1.0,68.22,18.23,409.0,1.0,0
0.0,0.0,-7.0,3.0,0.0,1.0,58.25,9.26,534.0,1.0,0
0.0,0.0,-7.0,19.0,0.0,1.0,83.23,15.23,706.0,1.0,0
0.0,0.0,-10.0,8.0,0.0,6.0,171.88,38.94,246.0,1.0,0
0.0,0.0,-9.0,9.0,0.0,3.0,109.23,16.33,329.0,1.0,0
0.0,0.0,-2.0,1.0,0.0,3.0,82.86,7.79,971.0,3.0,0
0.0,0.0,-7.0,5.0,0.0,1.0,78.88,8.88,281.0,2.0,0
0.5,0.5,-12.0,13.0,0.0,1.0,175.58,43.1,218.5,1.0,0
0.0,0.0,-11.0,6.0,0.0,1.0,89.25,9.26,279.0,1.0,0
0.0,0.0,11.0,32.0,1.0,1.0,31.13,18.23,269.0,1.0,0
0.0,0.0,-10.0,16.0,0.0,1.0,154.53,25.53,1490.0,3.0,0
0.0,0.0,-2.0,17.0,0.0,1.0,149.87,13.97,1749.0,1.0,0
0.0,0.0,-19.0,14.0,0.0,1.0,71.38,33.58,365.0,13.0,0
0.0,0.0,-17.0,8.0,0.0,1.0,65.33,12.67,657.0,1.0,0
0.0,0.0,-10.0,4.0,0.0,1.0,23.72,8.72,431.0,1.0,1
0.0,0.0,-20.0,5.0,0.0,1.0,31.22,15.23,286.0,2.0,0
0.0,0.0,-16.0,13.0,0.0,1.0,190.28,20.38,1123.0,4.0,0
0.0,0.0,-21.0,7.0,0.0,1.0,79.51,19.61,684.0,1.0,0
0.0,0.0,-8.0,10.0,0.0,10.0,108.46,18.56,937.0,8.0,0
0.0,0.0,-7.0,20.0,0.0,1.0,34.0,14.1,558.0,1.0,0
0.0,0.0,-8.0,3.0,0.0,1.0,77.22,9.23,1127.0,2.0,0
0.0,0.0,-14.0,12.0,0.0,1.0,46.1,16.11,463.0,2.0,0
0.0,0.0,-2.0,4.0,0.0,2.0,47.93,8.44,330.0,3.0,0
0.0,0.0,-7.0,9.0,0.0,2.0,118.54,13.64,273.0,1.0,0
0.0,0.0,3.0,26.0,1.0,1.0,78.2,18.3,367.0,2.0,1
0.0,0.0,-6.0,23.0,0.0,5.0,119.45,38.94,629.0,1.0,0
0.0,0.0,-15.0,15.0,0.0,3.0,159.65,19.66,1292.0,1.0,0
0.0,0.0,-7.0,10.0,0.0,1.0,66.72,12.82,409.0,1.0,0
0.0,0.0,-8.0,18.0,0.0,1.0,44.09,14.1,776.0,6.0,0
0.0,0.0,-14.0,7.0,0.0,1.0,67.36,13.46,348.0,2.0,0
0.0,0.0,-11.0,19.0,0.0,1.0,126.48,16.53,1599.0,5.0,0
0.0,0.0,-11.0,17.0,0.0,1.0,40.94,19.04,538.0,1.0,0
0.0,0.0,-29.0,11.0,0.0,3.0,147.78,18.78,597.0,1.0,1
0.0,0.0,-10.0,17.0,0.0,2.0,67.57,17.6,3074.0,1.0,0
0.0,0.0,8.0,40.0,1.0,1.0,70.75,16.35,565.0,4.0,1
0.0,0.0,-4.0,21.0,0.0,1.0,42.35,11.85,139.0,1.0,0
0.0,0.0,-22.0,9.0,0.0,8.0,183.05,23.05,696.0,6.0,0
0.0,0.0,0.0,6.0,0.0,2.0,90.5,22.52,464.0,1.0,0
0.0,0.0,-22.0,23.0,0.0,4.0,45.13,15.23,1059.0,1.0,0
0.0,0.0,-15.0,11.0,0.0,4.0,136.64,25.13,458.0,2.0,0
0.0,0.0,2.0,28.0,1.0,2.0,64.04,19.04,789.0,2.0,0
0.0,0.0,-5.0,11.0,0.0,1.0,108.83,18.93,989.0,4.0,0
0.0,0.0,-11.0,1.0,0.0,1.0,89.1,8.72,764.0,1.0,0
0.0,0.0,-8.0,20.0,0.0,2.0,147.97,13.07,408.0,1.0,0
0.0,0.0,-20.0,11.0,0.0,1.5,66.91,16.92,310.0,3.0,0
0.0,0.0,-28.0,7.0,0.0,1.0,79.38,19.39,305.0,2.0,0
0.0,0.0,-19.0,10.0,0.0,1.0,98.16,18.17,492.0,3.0,0
0.0,0.0,-11.0,1.0,0.0,1.0,21.04,7.39,400.0,1.0,0
0.0,0.0,-12.0,22.0,0.0,1.0,136.8,38.94,1090.0,1.0,0
0.0,0.0,-14.0,9.0,0.0,5.0,144.31,34.31,1030.0,5.0,0
0.0,0.0,-15.0,8.0,0.0,2.0,199.26,19.36,2385.0,1.0,0
0.0,0.0,-10.0,5.0,0.0,1.0,42.47,7.98,3072.0,10.0,0
0.0,0.0,-24.0,12.0,0.0,4.0,101.34,16.35,1071.0,1.0,0
0.0,0.0,-13.0,17.0,0.0,10.0,114.58,19.58,610.0,6.0,0
0.0,0.0,-30.0,5.0,0.0,1.0,116.84,18.84,1047.0,1.0,0
0.0,0.0,-6.0,19.0,0.0,2.0,105.08,15.38,1592.0,2.0,0
